"행정구역별(시군구)",총인구 (명)
"전국",51269554
"읍부",4707855
"면부",4793569
"동부",41768130
"서울특별시",9805506
"부산광역시",3440484
"대구광역시",2461002
"인천광역시",2913024
"광주광역시",1501557
"대전광역시",1535445
"울산광역시",1166033
"세종특별자치시",242507
"경기도",12671956
"강원도",1521751
"충청북도",1603404
"충청남도",2132566
"전라북도",1833168
"전라남도",1796017
"경상북도",2682169
"경상남도",3339633
"제주특별자치도",623332
