"±¹Àûº°(1)",2006. 06,2006. 05,2006. 04,2006. 03,2006. 02,2006. 01,2005. 12,2005. 11,2005. 10,2005. 09,2005. 08,2005. 07,2005. 06,2005. 05,2005. 04,2005. 03,2005. 02,2005. 01,2004. 12,2004. 11,2004. 10,2004. 09,2004. 08,2004. 07,2004. 06,2004. 05,2004. 04,2004. 03,2004. 02,2004. 01,2003. 12,2003. 11,2003. 10,2003. 09,2003. 08,2003. 07,2003. 06,2003. 05,2003. 04,2003. 03,2003. 02,2003. 01
"±¹Àûº°(1)",°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤,°ü±¤
"µ§¸¶Å©",314,318,85,16,19,26,29,16,63,44,243,266,179,122,28,53,16,26,12,8,40,56,119,186,133,37,24,21,31,28,16,43,37,39,140,175,102,33,4,15,20,12
"³ë¸£¿þÀÌ",84,80,18,14,25,35,27,25,44,25,49,72,73,43,19,15,14,9,7,15,20,51,28,23,67,18,14,8,14,6,8,10,14,19,37,73,46,18,6,4,9,6
"º§±â¿¡",17,42,39,28,34,49,32,31,12,42,36,51,31,29,32,31,23,16,39,30,10,39,38,78,30,29,14,16,22,13,28,19,20,25,19,40,30,12,9,10,7,52
"¿À½ºÆ®¸®¾Æ",269,207,171,158,176,195,119,168,160,219,382,375,216,113,88,90,95,163,99,97,108,201,201,294,133,114,94,107,78,82,77,61,109,139,158,262,144,75,34,71,96,105
"½ºÆäÀÎ",258,410,365,192,466,483,251,355,323,310,363,419,307,244,312,1020,1391,1571,1316,151,185,369,395,425,226,414,153,233,208,345,197,284,221,235,303,348,215,138,80,112,131,321
"±×¸®½º",225,280,308,171,201,310,144,204,310,284,162,340,253,213,189,102,70,242,53,86,193,203,632,272,137,136,150,113,81,190,43,87,204,168,218,303,100,104,38,26,81,236
"Æ÷¸£Åõ°¥",112,241,91,149,136,219,80,63,85,80,31,78,73,79,43,34,54,58,16,92,107,83,81,50,46,84,73,104,47,85,45,56,60,63,26,73,97,27,3,6,24,57
"ÇÉ¶õµå",94,153,24,9,15,36,27,9,11,27,170,136,39,38,19,34,26,23,6,7,28,23,105,201,138,61,4,20,5,13,18,11,41,17,113,148,27,32,14,25,6,6
"¾ÆÀÏ·£µå",26,15,24,30,20,64,23,18,27,39,58,39,26,24,15,21,18,30,17,18,21,26,32,32,28,9,14,9,8,21,12,3,8,11,28,40,16,7,10,17,10,21
"¿ìÅ©¶óÀÌ³ª",17,63,17,11,15,11,8,18,22,13,96,74,72,25,6,9,6,22,16,12,5,14,16,37,22,20,15,11,11,11,13,6,22,10,9,18,9,12,1,6,9,8
"·¯½Ã¾Æ",4461,2817,1457,933,967,1242,966,1060,1609,2035,5627,5452,4135,2884,1619,676,1218,1425,820,728,1266,2377,5549,6514,3652,3329,1306,890,772,985,706,1076,1435,1839,4048,4856,2626,1149,633,570,697,972
"Å©·Î¾ÆÆ¼¾Æ",4,6,5,0,2,7,0,2,2,1,3,4,5,2,0,0,1,1,1,1,2,0,3,9,3,4,0,1,0,0,1,5,7,0,2,1,1,2,2,1,1,1
"·ç¸¶´Ï¾Æ",29,23,16,9,12,13,8,7,14,14,35,50,21,6,39,9,12,22,5,5,4,26,23,83,9,5,3,4,37,9,14,9,41,4,16,75,16,8,3,6,3,14
"ºÒ°¡¸®¾Æ",7,10,15,4,2,9,5,2,39,35,53,10,10,31,19,4,5,19,18,6,4,16,11,58,24,14,22,3,12,9,5,10,3,3,31,68,4,8,1,1,1,12
"Æú¶õµå",59,38,67,71,85,55,47,37,28,46,84,64,35,27,20,29,34,25,25,25,23,58,66,77,37,23,45,18,29,24,47,12,15,23,57,69,13,57,18,40,26,20
"±¸ÁÖ ±âÅ¸",2814,3055,2222,1101,890,1193,667,1081,1709,1638,2606,2282,1991,2530,1889,794,811,1173,467,922,1269,1177,2249,2541,1469,1444,98,129,98,138,107,102,215,260,283,328,281,90,34,55,60,113
"´ë¾ç",26552,28373,26055,24760,30271,39370,28555,29296,26132,21192,31328,32665,23912,25846,25837,25077,34521,46604,29932,28661,24172,21022,29355,31761,23794,23275,20431,22316,31966,37094,23196,25536,21570,17575,21914,25136,16028,13149,14183,17091,21480,29310
"¿À½ºÆ®·¹ÀÏ¸®¾Æ",10658,9743,9935,10162,10701,14795,11567,12190,11146,8715,9271,11153,9846,10263,10986,11308,12154,16790,10565,11067,10310,7800,7959,10537,7925,10005,7835,8926,9678,14004,9966,12187,11864,8972,8214,11178,8047,6208,6931,8889,9782,14099
"´ºÁú·£µå",3059,2309,3078,3319,4625,6060,4452,4063,3358,2815,3610,4207,2454,2820,2876,3414,6088,8500,5619,6147,5278,3695,3591,4863,3890,3229,3554,4397,5362,10297,5634,6993,3731,2923,2523,4522,2332,1697,1937,2975,3399,8449
"¾ÆÇÁ¸®Ä«",1213,1480,1498,1881,2496,3311,1579,1117,1233,675,1911,1486,1138,1253,1107,1220,1982,3020,969,803,782,688,1504,1733,731,812,1148,1358,1381,2578,1062,980,884,755,829,852,265,145,110,246,1303,1988
"¾ÆÇÁ¸®Ä« ±âÅ¸",1099,1359,1428,1771,2296,2951,1435,1032,1112,571,1768,1200,1018,1181,1013,1120,1813,2640,853,720,695,576,1320,1519,597,754,1071,1280,1226,2356,904,889,789,681,676,685,185,92,73,138,1203,1676
