장소,LON,LAT
제주국제공항,126.496217,33.505314
돔베돈,126.526687,33.516084
공룡랜드,126.433153,33.442382
협재해수욕장,126.240463,33.404218
한림공원,126.239262,33.390101
유리의성,126.273744,33.315127
오설록티뮤지엄,126.289451,33.306537
테디베어뮤지엄,126.408691,33.267972
중문관광단지,126.412361,33.249186
신라호텔,126.4080371,33.2473942
